file	line_number	old_text	classification
scripts/migrate_paths.py	3	/mnt/20t/xuxin/depth_io_inspection	active_code
scripts/migrate_paths.py	3	/mnt/20t/xuxin/cleardepth_pilot	active_code
scripts/migrate_paths.py	3	/mnt/20t/xuxin/	active_code
scripts/migrate_paths.py	3	mistral-rev	active_code
manifests/old_path_occurrences.tsv	2	/mnt/20t/xuxin/depth_io_inspection	active_code
manifests/old_path_occurrences.tsv	2	/mnt/20t/xuxin/	active_code
manifests/old_path_occurrences.tsv	3	/mnt/20t/xuxin/cleardepth_pilot	active_code
manifests/old_path_occurrences.tsv	3	/mnt/20t/xuxin/	active_code
manifests/old_path_occurrences.tsv	4	/mnt/20t/xuxin/	active_code
manifests/old_path_occurrences.tsv	5	mistral-rev	active_code
manifests/old_path_occurrences.tsv	6	/mnt/20t/xuxin/depth_io_inspection	active_code
manifests/old_path_occurrences.tsv	6	/mnt/20t/xuxin/	active_code
manifests/old_path_occurrences.tsv	7	/mnt/20t/xuxin/	active_code
reports/FORMAL_EVALUATION.md	34	/mnt/20t/xuxin/depth_io_inspection	legacy_documentation
reports/FORMAL_EVALUATION.md	34	/mnt/20t/xuxin/	legacy_documentation
